Asset Type,Symbol,Name,Underlying Symbol,Last Trade,Last Trade Date,Last Trade Time,Change & Percent Change,Change,Open,Day's High,Day's Low,Volume,Ask,Average Daily Volume,Ask Size,52-week High,Change From 52-week High,Percent Change From 52-week Low,52-week Range,Bid,Bid Size,50-day Moving Average,Earnings/Share
E,RIC,Richmont Mines Inc. Common Sto,RIC,3.36,1/5/16,3:36pm,0.0762,0.11,3.28,3.4,3.21,260287,3.36,128913,1500,3.68,-0.32,48.02,2.27 - 3.68,3.34,1300,3.07,0.16
E,EXA,Exa Corporation,EXA,11.58,1/5/16,3:35pm,0.0091,0.01,11.54,11.85,11.15,34550,11.6,32468,500,12.34,-0.76,28.38,9.02 - 12.34,11.58,3600,10.56,-0.33
E,QSII,Quality Systems Inc.,QSII,17.065,1/5/16,3:36pm,0.20224,0.215,16.81,17.35,16.7,629360,17.07,496671,1600,18.75,-1.685,42.09,12.010 - 18.750,17.06,300,15.721,0.53
E,HEI,Heico Corporation Common Stock,HEI,55.38,1/5/16,3:36pm,1.2367,1.26,54.26,55.51,54.17,263361,55.33,136925,100,63.73,-8.35,17.23,47.24 - 63.73,55.3,1100,51.45,1.97
E,O,Realty Income Corporation Commo,O,52.32,1/5/16,3:36pm,1.1177,1.14,51.39,52.43,51.21,1522804,52.37,2174240,800,55.54,-3.22,21.25,43.15 - 55.54,52.36,400,50.19,1.1
E,TLK,PT Telekomunikasi Indonesia Tb,TLK,46.33,1/5/16,3:36pm,1.6619,1.7,45.95,46.43,45.47,176292,46.36,211257,100,47.07,-0.74,35.9,34.09 - 47.07,46.33,100,42.92,2.2
E,KMB,Kimberly-Clark Corporation Comm,KMB,128.8,1/5/16,3:36pm,2.3017,2.32,127,130.05,126.64,2551761,128.91,1577690,300,130.05,-1.25,25,103.04 - 130.05,128.88,200,122.95,1.61
E,FSNN,Fusion Telecommunications Inter,FSNN,3.46,1/5/16,3:31pm,-0.0286,-0.04,3.52,3.8,3.36,142956,3.46,134778,200,5.43,-1.97,89.07,1.83 - 5.43,3.44,100,2.68,-1.6
E,IIJI,Internet Initiative Japan Inc.,IIJI,10.4,1/5/16,2:28pm,0.4048,0.45,10.1,10.4,10.05,15284,10.4,3968,200,10.93,-0.53,33.68,7.78 - 10.93,10.29,200,9.6,0.32
E,MNOV,MediciNova Inc.,MNOV,3.77,1/5/16,3:15pm,0.1086,0.15,3.66,3.8,3.66,117953,3.79,32919,300,5.9,-2.13,43.89,2.62 - 5.90,3.76,100,3.42,-0.34
E,DOC,Physicians Realty Trust Common ,DOC,17.1,1/5/16,3:36pm,0.4136,0.44,16.72,17.13,16.67,612851,17.12,771924,400,18.12,-1.02,23.38,13.86 - 18.12,17.11,300,16.11,0.11
E,PBY,Pep Boys-Manny Moe & Jack,PBY,18.45,1/5/16,3:36pm,0.0378,0.04,18.43,18.47,18.42,946262,18.46,1534910,5500,19.03,-0.58,130.63,8.00 - 19.03,18.45,2800,16.24,-0.16
E,FCS,Fairchild Semiconductor Interna,FCS,21.23,1/5/16,3:36pm,0.7229,0.76,21.12,21.33,21.12,2215721,21.23,3092900,1100,21.71,-0.48,73.73,12.22 - 21.71,21.22,2900,19.84,-0.44
E,AMSC,American Superconductor Corpora,AMSC,6.79,1/5/16,3:36pm,0.1359,0.16,6.6,6.86,6.43,96648,6.82,73225,100,10.89,-4.1,108.28,3.26 - 10.89,6.78,100,4.91,-2.43
E,LFVN,Lifevantage Corporation,LFVN,9.99,1/5/16,3:35pm,0.5361,0.6,9.28,9.99,9.28,70822,10,82464,300,10.5,-0.51,4895,0.20 - 10.50,9.96,100,8.41,0.24
E,SQNS,Sequans Communications S.A. Ame,SQNS,2.2,1/5/16,3:31pm,0.0049,0.01,2.17,2.29,2.15,165054,2.2,134624,100,2.32,-0.12,233.33,0.66 - 2.32,2.19,1500,1.82,-0.46
E,MSBF,MSB Financial Corp.,MSBF,12.65,1/5/16,3:35pm,0.092,0.1,12.61,12.65,12.61,14431,12.65,5873,900,12.65,0,42.74,8.86 - 12.65,12.62,200,12.08,0.02
E,ITC,ITC Holdings Corp. Common Stock,ITC,40.12,1/5/16,3:36pm,0.4094,0.42,39.62,40.32,39.25,1350997,40.17,2005980,1700,44,-3.88,32.28,30.33 - 44.00,40.16,100,36.85,1.6
E,SO,Southern Company (The) Common S,SO,47.26,1/5/16,3:36pm,0.2251,0.23,46.95,47.36,46.59,4668805,47.28,4331920,2000,53.16,-5.9,14.15,41.40 - 53.16,47.27,1000,45.51,2.61
E,OA,Orbital ATK Inc. Common Stock,OA,91.75,1/5/16,3:36pm,2.4324,2.46,89.21,92.01,89.18,632299,91.81,396327,100,140.61,-48.86,63.66,56.06 - 140.61,91.77,200,87.2,3.24
E,NTT,Nippon Telegraph and Telephone ,NTT,40.43,1/5/16,3:36pm,1.2278,1.26,40.12,40.54,40.11,370916,40.48,373624,200,40.54,-0.11,59.8,25.30 - 40.54,40.46,400,38.62,2.36
E,OMED,OncoMed Pharmaceuticals Inc.,OMED,23.47,1/5/16,3:35pm,1.4317,1.5,22.4,23.98,22.17,328841,23.5,137714,100,29.83,-6.36,76.07,13.33 - 29.83,23.45,100,21.31,-2.53
E,CAFD,8point3 Energy Partners LP,CAFD,16.4,1/5/16,3:36pm,0.2533,0.27,16.43,16.7,16.26,290630,16.41,363413,600,21.15,-4.75,59.84,10.26 - 21.15,16.38,600,13.69,-0.25
E,FUNC,First United Corporation,FUNC,11.6999,1/5/16,3:31pm,0.173401,0.1899,11.74,11.6999,10.64,12175,11.7,8379,1100,11.89,-0.1901,47.91,7.9100 - 11.8900,11.5,100,10.3412,0.552
E,HRS,Harris Corporation Common Stock,HRS,87.94,1/5/16,3:36pm,0.2867,0.29,87.88,89.25,87.21,916044,88.08,895033,300,89.78,-1.84,32.94,66.15 - 89.78,88.03,200,84.12,3.18
E,NNN,National Retail Properties Comm,NNN,40.27,1/5/16,3:36pm,0.6921,0.71,39.6,40.38,39.54,828319,40.35,1175340,1100,44.43,-4.16,19.78,33.62 - 44.43,40.34,400,38.64,1.31
E,ATAI,ATA Inc.,ATAI,6.56,1/5/16,3:32pm,0.1602,0.19,6.45,6.6,6.37,35677,6.6,33365,2500,7.35,-0.79,191.56,2.25 - 7.35,6.52,100,5.73,0.01
E,COH,Coach Inc. Common Stock,COH,34.1,1/5/16,3:36pm,0.4463,0.46,33.82,34.19,33.31,3558317,34.15,4564520,1600,43.87,-9.77,25.28,27.22 - 43.87,34.14,900,31.6,1.37
E,ERI,Eldorado Resorts Inc.,ERI,11.08,1/5/16,3:36pm,0.4437,0.49,10.63,11.19,10.35,134015,11.08,161795,100,11.61,-0.53,190.81,3.81 - 11.61,11.03,200,9.95,-0.15
E,ROVI,Rovi Corporation,ROVI,17.1,1/5/16,3:36pm,0.0094,0.01,17.08,17.22,16.62,1541085,17.11,2066570,800,26.44,-9.34,113.48,8.01 - 26.44,17.1,1200,12.12,-0.43
E,KANG,iKang Healthcare Group Inc.,KANG,20.97,1/5/16,3:36pm,0.7129,0.75,20.9,21.5,20.63,1112575,20.98,526616,300,22.67,-1.7,105.59,10.20 - 22.67,20.96,500,19,0.45
E,EVA,Enviva Partners LP Common unit,EVA,17.65,1/5/16,3:35pm,-0.0377,-0.04,18.11,18.3,17.5,54757,17.9,92984,100,22.46,-4.81,48.95,11.85 - 22.46,17.65,200,15.67,1.07
E,CNTY,Century Casinos Inc.,CNTY,7.6,1/5/16,3:35pm,0,0,7.48,7.72,7.35,151508,7.6,95144,200,7.84,-0.24,53.54,4.95 - 7.84,7.58,200,7.01,0.45
E,ATNM,Actinium Pharmaceuticals Inc. ,ATNM,3.18,1/5/16,3:35pm,-0.1553,-0.22,3.41,3.49,3.09,1532071,3.19,623732,3000,6.25,-3.07,109.21,1.52 - 6.25,3.18,400,2.29,-0.56
E,HTA,Healthcare Trust of America In,HTA,27.34,1/5/16,3:36pm,0.7699,0.8,26.82,27.44,26.6,743355,27.36,720276,1400,30.28,-2.94,22.33,22.35 - 30.28,27.35,100,26.14,0.34
E,DLTR,Dollar Tree Inc.,DLTR,80.4,1/5/16,3:36pm,1.5698,1.59,79.27,80.78,79.24,3562071,80.39,3217590,900,84.22,-3.82,33.31,60.31 - 84.22,80.38,300,75.04,1.2
E,XIN,Xinyuan Real Estate Co Ltd Amer,XIN,3.74,1/5/16,3:36pm,0.1505,0.21,3.58,3.74,3.53,154870,3.74,160243,500,3.74,0,87,2.00 - 3.74,3.73,700,3.43,0.96
E,BKH,Black Hills Corporation Common ,BKH,47.41,1/5/16,3:36pm,0.7046,0.72,46.67,47.5,46.1,670169,47.46,610141,200,53.18,-5.77,28.8,36.81 - 53.18,47.45,500,43.26,0.37
E,ELS,Equity Lifestyle Properties In,ELS,66.47,1/5/16,3:36pm,1.2111,1.23,65.45,66.7,65.28,345972,66.59,417041,100,66.89,-0.42,28.35,51.79 - 66.89,66.56,200,63.3,1.48
E,AXTI,AXT Inc,AXTI,2.61,1/5/16,3:36pm,0,0,2.6,2.67,2.53,21733,2.61,49168,200,3.05,-0.44,37.37,1.90 - 3.05,2.6,100,2.47,-0.05
E,OLLI,Ollie's Bargain Outlet Holdings,OLLI,18.15,1/5/16,3:36pm,0.7727,0.82,17.36,18.25,17.36,278574,18.17,208676,200,22.99,-4.84,21.98,14.88 - 22.99,18.14,200,17.02,0.6
E,SPKE,Spark Energy Inc.,SPKE,20.96,1/5/16,3:32pm,0.2665,0.28,20.81,21.12,19.92,35321,21,36925,100,22.53,-1.57,76.88,11.85 - 22.53,20.86,100,18.93,0.91
E,DSKY,iDreamSky Technology Limited,DSKY,13.42,1/5/16,3:36pm,0.0185,0.02,13.4,13.44,13.38,310163,13.42,144149,7100,17.24,-3.82,102.11,6.64 - 17.24,13.41,800,12.7,4.06
E,NHI,National Health Investors Inc.,NHI,63.05,1/5/16,3:36pm,1.9279,1.96,61.17,63.17,61.17,194810,63.11,235606,300,76.98,-13.93,17.54,53.64 - 76.98,63.05,400,60.04,3.31
E,MEET,MeetMe Inc.,MEET,3.54,1/5/16,3:36pm,0,0,3.52,3.63,3.51,600620,3.55,1021280,800,3.72,-0.18,168.18,1.32 - 3.72,3.54,100,2.96,0.02
E,CRVL,CorVel Corp.,CRVL,44.28,1/5/16,3:36pm,0.8011,0.82,43.67,44.72,43.55,31405,44.4,55111,100,46.2,-1.92,51.28,29.27 - 46.20,44.28,100,40.21,1.35
E,CONE,CyrusOne Inc,CONE,37.95,1/5/16,3:36pm,1.0604,1.09,36.86,38.06,36.78,334492,37.95,598903,100,38.18,-0.23,40.4,27.03 - 38.18,37.94,200,36.06,-0.47
E,CERS,Cerus Corporation,CERS,6.35,1/5/16,3:36pm,0.0924,0.11,6.49,6.66,6.28,1550595,6.35,877575,1100,6.66,-0.31,66.23,3.82 - 6.66,6.34,3200,5.86,-0.67
E,SONA,Southern National Bancorp of Vi,SONA,13.27,1/5/16,3:32pm,0.0555,0.06,13.18,13.36,12.95,16313,13.3,19456,100,13.54,-0.27,22.87,10.80 - 13.54,13.26,100,12.54,0.72
E,MNRK,Monarch Financial Holdings Inc,MNRK,17.62,1/5/16,3:32pm,0.1414,0.15,17.47,17.79,17.29,31714,17.67,20141,2000,18.35,-0.73,48.57,11.86 - 18.35,17.58,200,14.46,1.07
E,ONE,Higher One Holdings Inc. Commo,ONE,3.44,1/5/16,3:35pm,0.1315,0.19,3.25,3.56,3.23,128367,3.44,220414,200,4.15,-0.71,85.95,1.85 - 4.15,3.43,300,3.1,-0.04
E,FLIR,FLIR Systems Inc.,FLIR,30.33,1/5/16,3:36pm,1.525,1.58,30.18,31.42,29.96,2104521,30.34,1113210,2300,34.46,-4.13,20.74,25.12 - 34.46,30.33,100,29.31,1.71
E,SSS,Sovran Self Storage Inc. Commo,SSS,108.93,1/5/16,3:36pm,2.5557,2.58,106.23,109.24,106.23,187179,109.22,252614,200,110.6,-1.67,27.12,85.69 - 110.60,109.06,100,102.78,3.09
E,GIG,GigOptix Inc. Common Stock,GIG,3.02,1/5/16,3:36pm,-0.0818,-0.12,3.16,3.29,3,1054101,3.02,557857,500,3.29,-0.27,179.63,1.08 - 3.29,3.01,400,2.7,0
E,SERV,ServiceMaster Global Holdings ,SERV,39.26,1/5/16,3:36pm,-0.078,-0.08,39.39,39.97,39.26,2002530,39.31,1356130,700,39.99,-0.73,51.12,25.98 - 39.99,39.29,500,37.99,1.2
E,CARO,Carolina Financial Corporation,CARO,18.18,1/5/16,3:36pm,0.0945,0.1,18.08,18.25,17.29,22607,18.25,20414,400,18.96,-0.78,40.39,12.95 - 18.96,18.12,100,16.09,1.32
E,NOC,Northrop Grumman Corporation Co,NOC,191.92,1/5/16,3:36pm,4.3865,4.41,187.85,192.86,187.85,1676522,192.29,1175240,300,193.99,-2.07,35.56,141.58 - 193.99,192.21,100,187.91,10.36
E,HNT,Health Net Inc. Common Stock,HNT,69.35,1/5/16,3:36pm,0.6504,0.66,68.97,70.1,68.57,752558,69.31,855954,100,76.67,-7.32,36.54,50.79 - 76.67,69.3,100,64.95,1.96
E,GHDX,Genomic Health Inc.,GHDX,34.31,1/5/16,3:34pm,0.6792,0.7,33.86,34.67,33.71,109562,34.32,262181,300,35.58,-1.27,71.12,20.05 - 35.58,34.24,200,30.91,-1.14
E,VSTO,Vista Outdoor Inc. Common Stock,VSTO,46.95,1/5/16,3:36pm,1.6331,1.67,46.45,48.48,46.01,997861,46.97,331973,300,49.27,-2.32,26.89,37.00 - 49.27,46.95,100,43.76,1.13
E,ORBC,ORBCOMM Inc.,ORBC,7.35,1/5/16,3:36pm,0.0604,0.07,7.28,7.55,7.25,171510,7.36,291265,400,7.8,-0.45,39.47,5.27 - 7.80,7.35,300,6.73,-0.28
E,SPWR,SunPower Corporation,SPWR,30.5,1/5/16,3:36pm,0.1354,0.14,30.26,30.58,29.48,1820290,30.51,1711410,400,35.11,-4.61,67.12,18.25 - 35.11,30.5,300,26.16,0.55
E,WG,Willbros Group Inc. (DE) Commo,WG,3,1/5/16,3:36pm,-0.0268,-0.04,3.07,3.07,2.95,109519,3.01,368056,3700,7.04,-4.04,341.18,0.68 - 7.04,2.99,3200,2.64,-1.49
E,RWLK,ReWalk Robotics Ltd,RWLK,14.69,1/5/16,3:36pm,-0.1866,-0.2,14.58,15.81,14.58,340193,14.76,466221,100,22.74,-8.05,164.68,5.55 - 22.74,14.64,200,9.6,-1.93
E,TRU,TransUnion Common Stock,TRU,27.495,1/5/16,3:36pm,-0.01445,-0.015,27.52,27.63,27.23,488278,27.57,311048,300,28.08,-0.585,18.92,23.120 - 28.080,27.52,200,26.526,-0.17
